, ,MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
1165,11.03.21,"135,369"
1166,12.03.21,"273,881"
1167,13.03.21,"179,358"
1168,14.03.21,"235,242"
1169,15.03.21,"169,850"
1170,16.03.21,"202,087"
1171,17.03.21,"113,453"
1172,18.03.21,"239,334"
1173,19.03.21,"102,233"
1174,20.03.21,"231,147"
1175,21.03.21,"174,389"
1176,22.03.21,"198,174"
1177,23.03.21,"83,301"
1178,24.03.21,"417,010"
1179,25.03.21,"294,287"
1180,26.03.21,"312,866"
1181,27.03.21,"256,113"
1182,28.03.21,"286,507"
1183,29.03.21,"421,345"
1184,30.03.21,"444,817"
1185,31.03.21,"436,060"
1186,01.04.21,"345,323"
1187,02.04.21,"245,317"
1188,03.04.21,"253,600"
1189,04.04.21,"415,547"
1190,05.04.21,"98,542"
1191,06.04.21,"291,267"
1192,07.04.21,"246,202"
1193,08.04.21,"257,524"
1194,09.04.21,"384,737"
1195,10.04.21,"99,765"
1196,11.04.21,"293,807"
1197,12.04.21,"199,362"
1198,13.04.21,"294,158"
1199,14.04.21,"292,175"
1200,15.04.21,"324,858"
1201,16.04.21,"236,590"
1202,17.04.21,"141,870"
1203,18.04.21,"137,465"
1204,19.04.21,"160,245"
1205,20.04.21,"255,763"
1206,21.04.21,"505,296"
1207,22.04.21,"516,865"
1208,23.04.21,"440,231"
1209,24.04.21,"487,109"
1210,25.04.21,"497,925"
1211,26.04.21,"548,394"
1212,27.04.21,"533,578"
1213,28.04.21,"505,522"
1214,29.04.21,"350,764"
1215,30.04.21,"203,500"
1216,01.05.21,"302,196"
1217,02.05.21,"271,609"
1218,03.05.21,"458,477"
1219,04.05.21,"224,896"
1220,05.05.21,"400,812"
1221,06.05.21,"317,706"
1222,07.05.21,"364,678"
1223,08.05.21,"468,915"
1224,09.05.21,"500,870"
1225,10.05.21,"417,900"
1226,11.05.21,"215,742"
1227,12.05.21,"143,883"
1228,13.05.21,"207,676"
1229,14.05.21,"292,613"
1230,15.05.21,"371,090"
1231,16.05.21,"444,381"
1232,17.05.21,"342,805"
1233,18.05.21,"318,217"
1234,19.05.21,"406,107"
1235,20.05.21,"340,413"
1236,21.05.21,"449,271"
1237,22.05.21,"498,573"
1238,23.05.21,"375,829"
1239,24.05.21,"487,846"
1240,25.05.21,"402,850"
1241,26.05.21,"199,408"
1242,27.05.21,"236,898"
1243,28.05.21,"362,325"
1244,29.05.21,"359,825"
1245,30.05.21,"501,587"
1246,31.05.21,"572,386"
1247,01.06.21,"521,816"
1248,02.06.21,"526,834"
1249,03.06.21,"439,239"
1250,04.06.21,"379,540"
1251,05.06.21,"268,724"
1252,06.06.21,"149,470"
1253,07.06.21,"250,485"
1254,08.06.21,"344,142"
1255,09.06.21,"368,619"
1256,10.06.21,"436,440"
1257,11.06.21,"524,175"
1258,12.06.21,"322,828"
1259,13.06.21,"518,307"
1260,14.06.21,"557,954"
1261,15.06.21,"483,049"
1262,16.06.21,"487,763"
1263,17.06.21,"518,731"
1264,18.06.21,"513,208"
1265,19.06.21,"395,959"
1266,20.06.21,"320,594"
1267,21.06.21,"467,379"
1268,22.06.21,"219,481"
1269,23.06.21,"216,105"
1270,24.06.21,"185,118"
1271,25.06.21,"285,954"
1272,26.06.21,"424,691"
1273,27.06.21,"506,122"
1274,28.06.21,"340,499"
1275,29.06.21,"287,905"
1276,30.06.21,"368,418"
1277,01.07.21,"170,926"
1278,02.07.21,"204,208"
1279,03.07.21,"519,024"
1280,04.07.21,"349,101"
1281,05.07.21,"314,075"
1282,06.07.21,"218,145"
1283,07.07.21,"316,007"
1284,08.07.21,"209,960"
1285,09.07.21,"73,036"
1286,10.07.21,"473,561"
1287,11.07.21,"274,151"
1288,12.07.21,"481,977"
1289,13.07.21,"252,273"
1290,14.07.21,"287,492"
1291,15.07.21,"316,492"
1292,16.07.21,"321,891"
1293,17.07.21,"317,639"
1294,18.07.21,"503,574"
1295,19.07.21,"434,599"
1296,20.07.21,"370,532"
1297,21.07.21,"343,220"
1298,22.07.21,"420,732"
1299,23.07.21,"477,005"
1300,24.07.21,"329,701"
1301,25.07.21,"319,757"
1302,26.07.21,"341,663"
1303,27.07.21,"382,822"
1304,28.07.21,"307,455"
1305,29.07.21,"427,839"
1306,30.07.21,"503,414"
1307,31.07.21,"368,747"
1308,01.08.21,"268,777"
1309,02.08.21,"273,344"
1310,03.08.21,"292,023"
1311,04.08.21,"275,315"
1312,05.08.21,"293,582"
1313,06.08.21,"331,768"
1314,07.08.21,"278,000"
1315,08.08.21,"382,883"
1316,09.08.21,"352,922"
1317,10.08.21,"310,517"
1318,11.08.21,"425,031"
1319,12.08.21,"391,537"
1320,13.08.21,"421,972"
1321,14.08.21,"493,385"
1322,15.08.21,"451,239"
1323,16.08.21,"362,023"
1324,17.08.21,"286,365"
1325,18.08.21,"218,023"
1326,19.08.21,"169,667"
1327,20.08.21,"272,710"
1328,21.08.21,"321,914"
1329,22.08.21,"177,295"
1330,23.08.21,"42,464"
1331,24.08.21,"280,265"
1332,25.08.21,"401,856"
1333,26.08.21,"191,634"
1334,27.08.21,"169,964"
1335,28.08.21,"247,592"
1336,29.08.21,"118,764"
1337,30.08.21,"118,762"
1338,31.08.21,"224,371"
1339,01.09.21,"326,277"
1340,02.09.21,"374,599"
1341,03.09.21,"436,089"
1342,04.09.21,"445,228"
1343,05.09.21,"263,439"
1344,06.09.21,"360,629"
1345,07.09.21,"324,534"
1346,08.09.21,"413,071"
1347,09.09.21,"378,574"
1348,10.09.21,"301,656"
1349,11.09.21,"263,455"
1350,12.09.21,"274,694"
1351,13.09.21,"332,844"
1352,14.09.21,"341,024"
1353,15.09.21,"81,087"
1354,16.09.21,"183,580"
1355,17.09.21,"118,035"
1356,18.09.21,"189,793"
1357,19.09.21,"130,930"
1358,20.09.21,"117,165"
1359,21.09.21,"185,006"
1360,22.09.21,"279,303"
1361,23.09.21,"371,717"
1362,24.09.21,"149,439"
1363,25.09.21,"373,713"
1364,26.09.21,"299,901"
1365,27.09.21,"246,048"
1366,28.09.21,"233,600"
1367,29.09.21,"173,968"
1368,30.09.21,"278,326"
1369,01.10.21,"311,208"
1370,02.10.21,"322,774"
1371,03.10.21,"108,239"
1372,04.10.21,"85,234"
1373,05.10.21,"81,070"
1374,06.10.21,"219,590"
1375,07.10.21,"304,411"
1376,08.10.21,"99,831"
1377,09.10.21,"219,054"
1378,10.10.21,"312,214"
1379,11.10.21,"81,507"
1380,12.10.21,"109,104"
1381,13.10.21,"260,842"
1382,14.10.21,"68,041"
1383,15.10.21,"83,075"
1384,16.10.21,"250,898"
1385,17.10.21,"230,218"
1386,18.10.21,"271,258"
1387,19.10.21,"87,616"
1388,20.10.21,"185,053"
1389,21.10.21,"210,808"
1390,22.10.21,"224,221"
1391,23.10.21,"175,260"
1392,24.10.21,"292,919"
1393,25.10.21,"192,229"
1394,26.10.21,"149,402"
1395,27.10.21,"68,960"
1396,28.10.21,"267,365"
1397,29.10.21,"250,342"
1398,30.10.21,"139,869"
1399,31.10.21,"186,860"
1400,01.11.21,"43,430"
1401,02.11.21,"65,741"
1402,03.11.21,"79,861"
1403,04.11.21,"15,770"
1404,05.11.21,"70,805"
1405,06.11.21,"233,821"
1406,07.11.21,"82,510"
1407,08.11.21,"54,030"
1408,09.11.21,"207,884"
1409,10.11.21,"168,373"
1410,11.11.21,"185,070"
1411,12.11.21,"55,056"
1412,13.11.21,"54,539"
1413,14.11.21,"28,002"
1414,15.11.21,"21,301"
1415,16.11.21,"16,109"
1416,17.11.21,"50,763"
1417,18.11.21,"109,282"
1418,19.11.21,"38,060"
1419,20.11.21,"33,667"
1420,21.11.21,"31,824"
1421,22.11.21,"51,436"
1422,23.11.21,"55,782"
1423,24.11.21,"29,595"
1424,25.11.21,"16,622"
1425,26.11.21,"119,171"
1426,27.11.21,"63,479"
1427,28.11.21,"80,575"
1428,29.11.21,"31,614"
1429,30.11.21,"21,180"
1430,01.12.21,"32,673"
1431,02.12.21,"29,444"
1432,03.12.21,"31,332"
1433,04.12.21,"85,181"
1434,05.12.21,"94,354"
1435,06.12.21,"10,463"
1436,07.12.21,"20,656"
1437,08.12.21,"29,783"
1438,09.12.21,"39,851"
1439,10.12.21,"137,785"
1440,11.12.21,"96,264"
1441,12.12.21,"25,345"
1442,13.12.21,"20,540"
1443,14.12.21,"15,534"
1444,15.12.21,"55,928"
1445,16.12.21,"17,743"
1446,17.12.21,"42,958"
1447,18.12.21,"18,505"
1448,19.12.21,"21,072"
1449,20.12.21,"163,352"
1450,21.12.21,"128,275"
1451,22.12.21,"52,923"
1452,23.12.21,"29,926"
1453,24.12.21,"35,946"
1454,25.12.21,"0,454"
1455,26.12.21,"0,702"
1456,27.12.21,"6,190"
1457,28.12.21,"59,979"
1458,29.12.21,"26,374"
1459,30.12.21,"32,649"
1460,31.12.21,"119,150"


