, ,Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
1413,15.08.21,"32,575"
1414,16.08.21,"11,235"
1415,17.08.21,"17,370"
1416,18.08.21,"12,149"
1417,19.08.21,"12,337"
1418,20.08.21,"18,829"
1419,21.08.21,"33,149"
1420,22.08.21,"7,453"
1421,23.08.21,"54,076"
1422,24.08.21,"48,514"
1423,25.08.21,"20,526"
1424,26.08.21,"23,261"
1425,27.08.21,"22,783"
1426,28.08.21,"12,586"
1427,29.08.21,"10,307"
1428,30.08.21,"21,281"
1429,31.08.21,"50,971"
