 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.21;"170,926"
02.07.21;"204,208"
03.07.21;"519,024"
04.07.21;"349,101"
05.07.21;"314,075"
06.07.21;"218,145"
07.07.21;"316,007"
08.07.21;"209,960"
09.07.21;"73,036"
10.07.21;"473,561"
11.07.21;"274,151"
12.07.21;"481,977"
13.07.21;"252,273"
14.07.21;"287,492"
15.07.21;"316,492"
16.07.21;"321,891"
17.07.21;"317,639"
18.07.21;"503,574"
19.07.21;"434,599"
20.07.21;"370,532"
21.07.21;"343,220"
22.07.21;"420,732"
23.07.21;"477,005"
24.07.21;"329,701"
25.07.21;"319,757"
26.07.21;"341,663"
27.07.21;"382,822"
28.07.21;"307,455"
29.07.21;"427,839"
30.07.21;"503,414"
31.07.21;"368,747"
