 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.21;"32,673"
02.12.21;"29,444"
03.12.21;"31,332"
04.12.21;"85,181"
05.12.21;"94,354"
06.12.21;"10,463"
07.12.21;"20,656"
08.12.21;"29,783"
09.12.21;"39,851"
10.12.21;"137,785"
11.12.21;"96,264"
12.12.21;"25,345"
13.12.21;"20,540"
14.12.21;"15,534"
15.12.21;"55,928"
16.12.21;"17,743"
17.12.21;"42,958"
18.12.21;"18,505"
19.12.21;"21,072"
20.12.21;"163,352"
21.12.21;"128,275"
22.12.21;"52,923"
23.12.21;"29,926"
24.12.21;"35,946"
25.12.21;"0,454"
26.12.21;"0,702"
27.12.21;"6,190"
28.12.21;"59,979"
29.12.21;"26,374"
30.12.21;"32,649"
31.12.21;"119,150"
