 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.21;"21,318"
02.01.21;"31,175"
03.01.21;"0,649"
04.01.21;"0,107"
05.01.21;"0,004"
06.01.21;"1,555"
07.01.21;"11,859"
08.01.21;"10,499"
09.01.21;"6,847"
10.01.21;"43,731"
11.01.21;"48,676"
12.01.21;"40,606"
13.01.21;"54,210"
14.01.21;"34,532"
15.01.21;"15,229"
16.01.21;"30,604"
17.01.21;"51,808"
18.01.21;"61,972"
19.01.21;"27,886"
20.01.21;"89,140"
21.01.21;"103,850"
22.01.21;"28,286"
23.01.21;"74,711"
24.01.21;"36,268"
25.01.21;"83,942"
26.01.21;"29,217"
27.01.21;"67,764"
28.01.21;"16,887"
29.01.21;"24,259"
30.01.21;"35,264"
31.01.21;"218,883"
