 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.18;"113,363"
02.11.18;"161,584"
03.11.18;"77,776"
04.11.18;"29,533"
05.11.18;"67,955"
06.11.18;"183,047"
07.11.18;"212,599"
08.11.18;"82,632"
09.11.18;"101,799"
10.11.18;"140,647"
11.11.18;"167,386"
12.11.18;"176,647"
13.11.18;"107,051"
14.11.18;"201,995"
15.11.18;"67,217"
16.11.18;"130,537"
17.11.18;"38,321"
18.11.18;"111,166"
19.11.18;"28,609"
20.11.18;"3,283"
21.11.18;"3,882"
22.11.18;"11,885"
23.11.18;"150,858"
24.11.18;"36,788"
25.11.18;"60,270"
26.11.18;"6,027"
27.11.18;"45,101"
28.11.18;"127,448"
29.11.18;"104,950"
30.11.18;"15,838"
