 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.18;"87,633"
02.12.18;"20,782"
03.12.18;"47,019"
04.12.18;"128,314"
05.12.18;"128,190"
06.12.18;"38,646"
07.12.18;"15,535"
08.12.18;"69,087"
09.12.18;"59,946"
10.12.18;"71,376"
11.12.18;"68,197"
12.12.18;"14,452"
13.12.18;"35,865"
14.12.18;"17,410"
15.12.18;"10,890"
16.12.18;"27,489"
17.12.18;"89,997"
18.12.18;"145,225"
19.12.18;"12,760"
20.12.18;"32,629"
21.12.18;"28,806"
22.12.18;"45,134"
23.12.18;"36,410"
24.12.18;"17,379"
25.12.18;"23,498"
26.12.18;"17,278"
27.12.18;"128,445"
28.12.18;"132,827"
29.12.18;"35,280"
30.12.18;"32,422"
31.12.18;"26,439"
