 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.18;"185,907"
02.02.18;"63,994"
03.02.18;"93,139"
04.02.18;"1,893"
05.02.18;"2,180"
06.02.18;"9,333"
07.02.18;"66,223"
08.02.18;"161,379"
09.02.18;"81,823"
10.02.18;"136,701"
11.02.18;"76,312"
12.02.18;"106,570"
13.02.18;"282,385"
14.02.18;"293,919"
15.02.18;"46,684"
16.02.18;"202,652"
17.02.18;"94,626"
18.02.18;"172,730"
19.02.18;"145,998"
20.02.18;"76,860"
21.02.18;"212,409"
22.02.18;"275,217"
23.02.18;"296,001"
24.02.18;"168,096"
25.02.18;"310,466"
26.02.18;"98,846"
27.02.18;"304,496"
28.02.18;"133,415"
