 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.19;"84,531"
02.03.19;"58,337"
03.03.19;"92,256"
04.03.19;"163,421"
05.03.19;"154,027"
06.03.19;"139,751"
07.03.19;"196,559"
08.03.19;"186,906"
09.03.19;"172,071"
10.03.19;"122,432"
11.03.19;"144,465"
12.03.19;"225,117"
13.03.19;"183,349"
14.03.19;"73,693"
15.03.19;"93,921"
16.03.19;"78,039"
17.03.19;"91,665"
18.03.19;"229,823"
19.03.19;"155,338"
20.03.19;"326,948"
21.03.19;"319,889"
22.03.19;"320,112"
23.03.19;"311,758"
24.03.19;"60,552"
25.03.19;"209,905"
26.03.19;"117,648"
27.03.19;"160,509"
28.03.19;"137,284"
29.03.19;"239,884"
30.03.19;"337,035"
31.03.19;"180,691"
