 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.20;"567,257"
02.06.20;"546,502"
03.06.20;"332,053"
04.06.20;"129,704"
05.06.20;"342,326"
06.06.20;"327,192"
07.06.20;"316,291"
08.06.20;"305,222"
09.06.20;"282,382"
10.06.20;"207,136"
11.06.20;"156,174"
12.06.20;"481,987"
13.06.20;"463,385"
14.06.20;"199,916"
15.06.20;"169,518"
16.06.20;"344,136"
17.06.20;"397,358"
18.06.20;"112,489"
19.06.20;"369,072"
20.06.20;"263,424"
21.06.20;"509,796"
22.06.20;"398,590"
23.06.20;"539,717"
24.06.20;"496,230"
25.06.20;"304,636"
26.06.20;"532,489"
27.06.20;"418,915"
28.06.20;"294,244"
29.06.20;"446,550"
30.06.20;"549,658"
