 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.21;"268,777"
02.08.21;"273,344"
03.08.21;"292,023"
04.08.21;"275,315"
05.08.21;"293,582"
06.08.21;"331,768"
07.08.21;"278,000"
08.08.21;"382,883"
09.08.21;"352,922"
10.08.21;"310,517"
11.08.21;"425,031"
12.08.21;"391,537"
13.08.21;"421,972"
14.08.21;"493,385"
15.08.21;"451,239"
16.08.21;"362,023"
17.08.21;"286,365"
18.08.21;"218,023"
19.08.21;"169,667"
20.08.21;"272,710"
21.08.21;"321,914"
22.08.21;"177,295"
23.08.21;"42,464"
24.08.21;"280,265"
25.08.21;"401,856"
26.08.21;"191,634"
27.08.21;"169,964"
28.08.21;"247,592"
29.08.21;"118,764"
30.08.21;"118,762"
31.08.21;"224,371"
