 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.21;"43,430"
02.11.21;"65,741"
03.11.21;"79,861"
04.11.21;"15,770"
05.11.21;"70,805"
06.11.21;"233,821"
07.11.21;"82,510"
08.11.21;"54,030"
09.11.21;"207,884"
10.11.21;"168,373"
11.11.21;"185,070"
12.11.21;"55,056"
13.11.21;"54,539"
14.11.21;"28,002"
15.11.21;"21,301"
16.11.21;"16,109"
17.11.21;"50,763"
18.11.21;"109,282"
19.11.21;"38,060"
20.11.21;"33,667"
21.11.21;"31,824"
22.11.21;"51,436"
23.11.21;"55,782"
24.11.21;"29,595"
25.11.21;"16,622"
26.11.21;"119,171"
27.11.21;"63,479"
28.11.21;"80,575"
29.11.21;"31,614"
30.11.21;"21,180"
