 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.19;"32,152"
02.01.19;"72,769"
03.01.19;"123,711"
04.01.19;"30,162"
05.01.19;"25,553"
06.01.19;"13,735"
07.01.19;"34,248"
08.01.19;"36,244"
09.01.19;"14,700"
10.01.19;"0,000"
11.01.19;"0,000"
12.01.19;"18,765"
13.01.19;"19,932"
14.01.19;"19,119"
15.01.19;"44,945"
16.01.19;"27,003"
17.01.19;"59,977"
18.01.19;"150,629"
19.01.19;"127,772"
20.01.19;"153,842"
21.01.19;"86,253"
22.01.19;"157,109"
23.01.19;"69,901"
24.01.19;"33,996"
25.01.19;"32,903"
26.01.19;"27,025"
27.01.19;"134,932"
28.01.19;"49,800"
29.01.19;"62,851"
30.01.19;"45,461"
31.01.19;"180,741"
