 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.18;"209,418"
02.10.18;"85,530"
03.10.18;"243,424"
04.10.18;"165,562"
05.10.18;"349,091"
06.10.18;"293,038"
07.10.18;"55,914"
08.10.18;"210,996"
09.10.18;"254,769"
10.10.18;"302,101"
11.10.18;"319,629"
12.10.18;"300,879"
13.10.18;"301,794"
14.10.18;"294,758"
15.10.18;"286,963"
16.10.18;"136,839"
17.10.18;"226,627"
18.10.18;"104,759"
19.10.18;"103,717"
20.10.18;"235,796"
21.10.18;"230,396"
22.10.18;"62,069"
23.10.18;"47,940"
24.10.18;"73,483"
25.10.18;"58,385"
26.10.18;"66,611"
27.10.18;"84,422"
28.10.18;"20,984"
29.10.18;"20,583"
30.10.18;"147,146"
31.10.18;"178,640"
