 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.18;"367,771"
02.08.18;"384,295"
03.08.18;"474,990"
04.08.18;"393,491"
05.08.18;"354,065"
06.08.18;"513,630"
07.08.18;"381,539"
08.08.18;"389,159"
09.08.18;"412,726"
10.08.18;"449,147"
11.08.18;"401,332"
12.08.18;"487,150"
13.08.18;"206,879"
14.08.18;"278,248"
15.08.18;"320,414"
16.08.18;"471,305"
17.08.18;"382,895"
18.08.18;"360,226"
19.08.18;"473,541"
20.08.18;"239,050"
21.08.18;"265,448"
22.08.18;"409,614"
23.08.18;"325,587"
24.08.18;"206,862"
25.08.18;"256,355"
26.08.18;"440,485"
27.08.18;"210,968"
28.08.18;"427,409"
29.08.18;"428,643"
30.08.18;"153,624"
31.08.18;"300,485"
