 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.20;"157,593"
02.01.20;"154,803"
03.01.20;"24,976"
04.01.20;"21,583"
05.01.20;"65,793"
06.01.20;"81,001"
07.01.20;"48,640"
08.01.20;"23,430"
09.01.20;"34,973"
10.01.20;"59,678"
11.01.20;"158,839"
12.01.20;"109,706"
13.01.20;"40,477"
14.01.20;"66,532"
15.01.20;"163,404"
16.01.20;"163,237"
17.01.20;"162,502"
18.01.20;"58,201"
19.01.20;"49,475"
20.01.20;"173,790"
21.01.20;"193,636"
22.01.20;"69,096"
23.01.20;"111,536"
24.01.20;"190,779"
25.01.20;"37,705"
26.01.20;"75,821"
27.01.20;"80,112"
28.01.20;"61,793"
29.01.20;"64,339"
30.01.20;"98,105"
31.01.20;"129,417"
