 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.19;"286,385"
02.09.19;"390,709"
03.09.19;"449,896"
04.09.19;"449,604"
05.09.19;"288,323"
06.09.19;"446,691"
07.09.19;"184,394"
08.09.19;"204,312"
09.09.19;"115,785"
10.09.19;"283,993"
11.09.19;"398,702"
12.09.19;"331,952"
13.09.19;"134,625"
14.09.19;"412,446"
15.09.19;"397,502"
16.09.19;"97,305"
17.09.19;"268,137"
18.09.19;"329,435"
19.09.19;"249,597"
20.09.19;"384,603"
21.09.19;"397,792"
22.09.19;"377,231"
23.09.19;"91,743"
24.09.19;"235,232"
25.09.19;"152,457"
26.09.19;"212,319"
27.09.19;"84,819"
28.09.19;"320,341"
29.09.19;"163,768"
30.09.19;"239,560"
