 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.19;"356,708"
02.04.19;"295,615"
03.04.19;"154,169"
04.04.19;"112,635"
05.04.19;"75,067"
06.04.19;"426,765"
07.04.19;"351,528"
08.04.19;"316,751"
09.04.19;"142,094"
10.04.19;"421,532"
11.04.19;"344,648"
12.04.19;"128,553"
13.04.19;"212,263"
14.04.19;"97,967"
15.04.19;"447,599"
16.04.19;"482,345"
17.04.19;"488,719"
18.04.19;"483,515"
19.04.19;"483,656"
20.04.19;"479,943"
21.04.19;"476,762"
22.04.19;"498,648"
23.04.19;"436,776"
24.04.19;"446,006"
25.04.19;"476,822"
26.04.19;"217,607"
27.04.19;"347,383"
28.04.19;"297,375"
29.04.19;"98,081"
30.04.19;"534,704"
