 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.20;"419,092"
02.08.20;"163,072"
03.08.20;"270,405"
04.08.20;"320,232"
05.08.20;"476,450"
06.08.20;"497,300"
07.08.20;"481,389"
08.08.20;"433,804"
09.08.20;"350,742"
10.08.20;"166,326"
11.08.20;"434,936"
12.08.20;"360,493"
13.08.20;"175,100"
14.08.20;"160,897"
15.08.20;"202,934"
16.08.20;"343,554"
17.08.20;"161,789"
18.08.20;"345,333"
19.08.20;"410,083"
20.08.20;"388,066"
21.08.20;"391,618"
22.08.20;"269,544"
23.08.20;"264,905"
24.08.20;"266,088"
25.08.20;"285,058"
26.08.20;"264,940"
27.08.20;"328,112"
28.08.20;"258,592"
29.08.20;"285,729"
30.08.20;"110,525"
31.08.20;"118,643"
