 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.20;"41,994"
02.02.20;"40,233"
03.02.20;"145,791"
04.02.20;"158,374"
05.02.20;"221,645"
06.02.20;"33,090"
07.02.20;"50,259"
08.02.20;"214,142"
09.02.20;"156,230"
10.02.20;"137,466"
11.02.20;"199,669"
12.02.20;"261,718"
13.02.20;"57,235"
14.02.20;"94,889"
15.02.20;"145,540"
16.02.20;"119,943"
17.02.20;"70,918"
18.02.20;"243,141"
19.02.20;"112,235"
20.02.20;"87,471"
21.02.20;"172,311"
22.02.20;"173,532"
23.02.20;
24.02.20;
25.02.20;
26.02.20;
27.02.20;
28.02.20;
29.02.20;
