 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.18;"589,171"
02.07.18;"572,762"
03.07.18;"558,561"
04.07.18;"437,922"
05.07.18;"419,174"
06.07.18;"516,912"
07.07.18;"577,796"
08.07.18;"482,662"
09.07.18;"539,979"
10.07.18;"287,607"
11.07.18;"247,084"
12.07.18;"281,130"
13.07.18;"526,877"
14.07.18;"501,125"
15.07.18;"525,160"
16.07.18;"336,740"
17.07.18;"535,472"
18.07.18;"519,871"
19.07.18;"541,941"
20.07.18;"467,099"
21.07.18;"157,539"
22.07.18;"152,169"
23.07.18;"454,156"
24.07.18;"512,036"
25.07.18;"472,956"
26.07.18;"496,546"
27.07.18;"405,858"
28.07.18;"350,912"
29.07.18;"378,008"
30.07.18;"458,149"
31.07.18;"376,118"
