 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.20;
02.03.20;
03.03.20;
04.03.20;
05.03.20;
06.03.20;
07.03.20;"170,171"
08.03.20;"218,399"
09.03.20;"247,557"
10.03.20;"82,200"
11.03.20;"76,141"
12.03.20;"189,880"
13.03.20;"331,070"
14.03.20;"322,213"
15.03.20;"376,604"
16.03.20;"344,511"
17.03.20;"222,983"
18.03.20;"367,307"
19.03.20;"364,064"
20.03.20;"35,043"
21.03.20;"105,524"
22.03.20;"444,075"
23.03.20;"450,088"
24.03.20;"448,741"
25.03.20;"448,601"
26.03.20;"384,801"
27.03.20;"397,127"
28.03.20;"409,685"
29.03.20;"83,730"
30.03.20;"362,265"
31.03.20;"275,064"
