 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.21;"345,323"
02.04.21;"245,317"
03.04.21;"253,600"
04.04.21;"415,547"
05.04.21;"98,542"
06.04.21;"291,267"
07.04.21;"246,202"
08.04.21;"257,524"
09.04.21;"384,737"
10.04.21;"99,765"
11.04.21;"293,807"
12.04.21;"199,362"
13.04.21;"294,158"
14.04.21;"292,175"
15.04.21;"324,858"
16.04.21;"236,590"
17.04.21;"141,870"
18.04.21;"137,465"
19.04.21;"160,245"
20.04.21;"255,763"
21.04.21;"505,296"
22.04.21;"516,865"
23.04.21;"440,231"
24.04.21;"487,109"
25.04.21;"497,925"
26.04.21;"548,394"
27.04.21;"533,578"
28.04.21;"505,522"
29.04.21;"350,764"
30.04.21;"203,500"
