 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.21;"521,816"
02.06.21;"526,834"
03.06.21;"439,239"
04.06.21;"379,540"
05.06.21;"268,724"
06.06.21;"149,470"
07.06.21;"250,485"
08.06.21;"344,142"
09.06.21;"368,619"
10.06.21;"436,440"
11.06.21;"524,175"
12.06.21;"322,828"
13.06.21;"518,307"
14.06.21;"557,954"
15.06.21;"483,049"
16.06.21;"487,763"
17.06.21;"518,731"
18.06.21;"513,208"
19.06.21;"395,959"
20.06.21;"320,594"
21.06.21;"467,379"
22.06.21;"219,481"
23.06.21;"216,105"
24.06.21;"185,118"
25.06.21;"285,954"
26.06.21;"424,691"
27.06.21;"506,122"
28.06.21;"340,499"
29.06.21;"287,905"
30.06.21;"368,418"
