 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.19;"375,295"
02.07.19;"402,868"
03.07.19;"474,459"
04.07.19;"552,037"
05.07.19;"410,424"
06.07.19;"426,533"
07.07.19;"373,156"
08.07.19;"266,611"
09.07.19;"283,335"
10.07.19;"471,565"
11.07.19;"224,306"
12.07.19;"306,312"
13.07.19;"236,692"
14.07.19;"341,438"
15.07.19;"308,218"
16.07.19;"324,777"
17.07.19;"372,387"
18.07.19;"480,041"
19.07.19;"211,988"
20.07.19;"435,786"
21.07.19;"493,702"
22.07.19;"372,915"
23.07.19;"512,369"
24.07.19;"496,096"
25.07.19;"484,644"
26.07.19;"480,323"
27.07.19;"503,265"
28.07.19;"333,662"
29.07.19;"282,409"
30.07.19;"368,615"
31.07.19;"260,789"
