 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.21;"121,411"
02.03.21;"284,621"
03.03.21;"210,127"
04.03.21;"75,583"
05.03.21;"271,906"
06.03.21;"366,448"
07.03.21;"368,569"
08.03.21;"149,534"
09.03.21;"157,697"
10.03.21;"172,701"
11.03.21;"135,369"
12.03.21;"273,881"
13.03.21;"179,358"
14.03.21;"235,242"
15.03.21;"169,850"
16.03.21;"202,087"
17.03.21;"113,453"
18.03.21;"239,334"
19.03.21;"102,233"
20.03.21;"231,147"
21.03.21;"174,389"
22.03.21;"198,174"
23.03.21;"83,301"
24.03.21;"417,010"
25.03.21;"294,287"
26.03.21;"312,866"
27.03.21;"256,113"
28.03.21;"286,507"
29.03.21;"421,345"
30.03.21;"444,817"
31.03.21;"436,060"
