 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.20;"477,911"
02.04.20;"462,533"
03.04.20;"98,364"
04.04.20;"393,526"
05.04.20;"473,129"
06.04.20;"460,906"
07.04.20;"440,242"
08.04.20;"433,554"
09.04.20;"392,571"
10.04.20;"448,150"
11.04.20;"476,298"
12.04.20;"334,302"
13.04.20;"293,723"
14.04.20;"411,689"
15.04.20;"452,312"
16.04.20;"461,015"
17.04.20;"467,872"
18.04.20;"357,948"
19.04.20;"445,115"
20.04.20;"535,281"
21.04.20;"525,827"
22.04.20;"524,397"
23.04.20;"506,411"
24.04.20;"386,919"
25.04.20;"355,591"
26.04.20;"508,611"
27.04.20;"444,479"
28.04.20;"194,583"
29.04.20;"416,563"
30.04.20;"325,751"
