 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.18;"472,904"
02.06.18;"202,208"
03.06.18;"456,851"
04.06.18;"539,987"
05.06.18;"315,516"
06.06.18;"541,971"
07.06.18;"339,153"
08.06.18;"428,660"
09.06.18;"414,728"
10.06.18;"396,208"
11.06.18;"136,143"
12.06.18;"259,150"
13.06.18;"248,142"
14.06.18;"529,448"
15.06.18;"255,561"
16.06.18;"354,584"
17.06.18;"371,777"
18.06.18;"436,596"
19.06.18;"332,209"
20.06.18;"486,378"
21.06.18;"427,864"
22.06.18;"284,662"
23.06.18;"161,324"
24.06.18;"312,998"
25.06.18;"371,241"
26.06.18;"412,827"
27.06.18;"480,956"
28.06.18;"344,669"
29.06.18;"539,011"
30.06.18;"581,504"
