 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.18;"332,950"
02.03.18;"237,182"
03.03.18;"36,055"
04.03.18;"183,083"
05.03.18;"264,763"
06.03.18;"144,634"
07.03.18;"214,687"
08.03.18;"273,051"
09.03.18;"221,080"
10.03.18;"201,616"
11.03.18;"255,001"
12.03.18;"70,445"
13.03.18;"151,384"
14.03.18;"131,724"
15.03.18;"336,336"
16.03.18;"12,946"
17.03.18;"11,069"
18.03.18;"144,279"
19.03.18;"338,391"
20.03.18;"41,326"
21.03.18;"416,250"
22.03.18;"132,339"
23.03.18;"177,383"
24.03.18;"384,071"
25.03.18;"403,768"
26.03.18;"100,511"
27.03.18;"245,489"
28.03.18;"90,503"
29.03.18;"234,316"
30.03.18;"353,206"
31.03.18;"85,296"
