 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.19;"43,295"
02.02.19;"17,745"
03.02.19;"16,956"
04.02.19;"180,824"
05.02.19;"65,547"
06.02.19;"159,136"
07.02.19;"46,044"
08.02.19;"154,883"
09.02.19;"144,516"
10.02.19;"50,906"
11.02.19;"133,778"
12.02.19;"68,815"
13.02.19;"84,625"
14.02.19;"175,277"
15.02.19;"230,755"
16.02.19;"234,693"
17.02.19;"204,093"
18.02.19;"232,990"
19.02.19;"103,382"
20.02.19;"121,226"
21.02.19;"92,520"
22.02.19;"30,328"
23.02.19;"202,695"
24.02.19;"246,135"
25.02.19;"228,893"
26.02.19;"244,721"
27.02.19;"254,366"
28.02.19;"190,813"
