 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.19;"488,614"
02.06.19;"547,834"
03.06.19;"479,313"
04.06.19;"520,676"
05.06.19;"523,399"
06.06.19;"296,681"
07.06.19;"501,711"
08.06.19;"417,697"
09.06.19;"477,939"
10.06.19;"307,660"
11.06.19;"314,273"
12.06.19;"173,790"
13.06.19;"415,181"
14.06.19;"346,044"
15.06.19;"425,857"
16.06.19;"184,717"
17.06.19;"485,433"
18.06.19;"482,187"
19.06.19;"507,806"
20.06.19;"406,195"
21.06.19;"417,888"
22.06.19;"384,284"
23.06.19;"538,729"
24.06.19;"540,311"
25.06.19;"519,086"
26.06.19;"514,603"
27.06.19;"574,409"
28.06.19;"547,188"
29.06.19;"550,372"
30.06.19;"539,605"
