 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.19;"382,796"
02.05.19;"405,775"
03.05.19;"241,391"
04.05.19;"217,712"
05.05.19;"354,045"
06.05.19;"270,167"
07.05.19;"228,430"
08.05.19;"137,211"
09.05.19;"386,872"
10.05.19;"306,522"
11.05.19;"78,644"
12.05.19;"440,450"
13.05.19;"547,978"
14.05.19;"390,507"
15.05.19;"287,294"
16.05.19;"105,464"
17.05.19;"334,231"
18.05.19;"532,893"
19.05.19;"343,663"
20.05.19;"236,810"
21.05.19;"212,876"
22.05.19;"148,225"
23.05.19;"516,035"
24.05.19;"498,103"
25.05.19;"515,919"
26.05.19;"520,615"
27.05.19;"244,291"
28.05.19;"231,618"
29.05.19;"414,782"
30.05.19;"462,547"
31.05.19;"397,833"
