 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.18;"394,873"
02.09.18;"38,111"
03.09.18;"77,207"
04.09.18;"371,222"
05.09.18;"372,070"
06.09.18;"264,255"
07.09.18;"246,145"
08.09.18;"427,308"
09.09.18;"290,157"
10.09.18;"288,638"
11.09.18;"381,623"
12.09.18;"421,479"
13.09.18;"52,614"
14.09.18;"172,203"
15.09.18;"333,959"
16.09.18;"398,031"
17.09.18;"352,153"
18.09.18;"395,572"
19.09.18;"373,364"
20.09.18;"345,160"
21.09.18;"156,203"
22.09.18;"245,284"
23.09.18;"61,645"
24.09.18;"329,928"
25.09.18;"334,070"
26.09.18;"321,203"
27.09.18;"371,261"
28.09.18;"107,062"
29.09.18;"389,282"
30.09.18;"386,768"
