 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.19;"72,501"
02.12.19;"80,823"
03.12.19;"92,783"
04.12.19;"161,994"
05.12.19;"156,517"
06.12.19;"59,427"
07.12.19;"33,318"
08.12.19;"35,879"
09.12.19;"70,833"
10.12.19;"148,286"
11.12.19;"9,299"
12.12.19;"52,603"
13.12.19;"34,593"
14.12.19;"69,507"
15.12.19;"49,000"
16.12.19;"86,108"
17.12.19;"127,997"
18.12.19;"43,460"
19.12.19;"85,269"
20.12.19;"69,515"
21.12.19;"97,188"
22.12.19;"57,066"
23.12.19;"84,208"
24.12.19;"29,864"
25.12.19;"25,318"
26.12.19;"30,482"
27.12.19;"105,397"
28.12.19;"37,350"
29.12.19;"147,602"
30.12.19;"143,836"
31.12.19;"25,309"
