 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.20;"470,648"
02.07.20;"376,239"
03.07.20;"419,678"
04.07.20;"468,170"
05.07.20;"314,991"
06.07.20;"395,585"
07.07.20;"392,790"
08.07.20;"180,331"
09.07.20;"361,630"
10.07.20;"295,186"
11.07.20;"413,956"
12.07.20;"440,069"
13.07.20;"533,052"
14.07.20;"383,519"
15.07.20;"209,955"
16.07.20;"216,396"
17.07.20;"377,225"
18.07.20;"415,680"
19.07.20;"442,880"
20.07.20;"331,400"
21.07.20;"477,107"
22.07.20;"511,478"
23.07.20;"504,063"
24.07.20;"384,776"
25.07.20;"405,779"
26.07.20;"320,141"
27.07.20;"351,775"
28.07.20;"383,272"
29.07.20;"521,710"
30.07.20;"501,196"
31.07.20;"505,817"
