 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.19;"246,889"
02.10.19;"151,881"
03.10.19;"166,573"
04.10.19;"62,661"
05.10.19;"66,605"
06.10.19;"116,219"
07.10.19;"252,995"
08.10.19;"77,154"
09.10.19;"202,747"
10.10.19;"158,133"
11.10.19;"113,007"
12.10.19;"315,017"
13.10.19;"250,995"
14.10.19;"291,044"
15.10.19;"223,870"
16.10.19;"212,533"
17.10.19;"66,074"
18.10.19;"185,052"
19.10.19;"67,572"
20.10.19;"129,452"
21.10.19;"114,103"
22.10.19;"238,922"
23.10.19;"110,881"
24.10.19;"161,259"
25.10.19;"138,142"
26.10.19;"221,776"
27.10.19;"24,079"
28.10.19;"121,422"
29.10.19;"159,783"
30.10.19;"142,610"
31.10.19;"230,560"
