 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.20;"308,535"
02.10.20;"279,565"
03.10.20;"177,686"
04.10.20;"224,655"
05.10.20;"166,618"
06.10.20;"147,069"
07.10.20;"168,329"
08.10.20;"113,019"
09.10.20;"47,536"
10.10.20;"165,414"
11.10.20;"201,291"
12.10.20;"163,479"
13.10.20;"148,762"
14.10.20;"50,019"
15.10.20;"28,406"
16.10.20;"92,467"
17.10.20;"76,535"
18.10.20;"207,293"
19.10.20;"107,239"
20.10.20;"124,560"
21.10.20;"96,805"
22.10.20;"213,588"
23.10.20;"41,440"
24.10.20;"232,267"
25.10.20;"71,525"
26.10.20;"33,532"
27.10.20;"132,872"
28.10.20;"176,715"
29.10.20;"179,852"
30.10.20;"43,322"
31.10.20;"88,830"
