 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.20;"64,893"
02.11.20;"90,911"
03.11.20;"97,385"
04.11.20;"161,315"
05.11.20;"232,106"
06.11.20;"232,757"
07.11.20;"227,061"
08.11.20;"189,535"
09.11.20;"157,554"
10.11.20;"35,844"
11.11.20;"40,384"
12.11.20;"94,923"
13.11.20;"174,916"
14.11.20;"171,357"
15.11.20;"66,970"
16.11.20;"108,570"
17.11.20;"35,815"
18.11.20;"155,466"
19.11.20;"68,922"
20.11.20;"94,992"
21.11.20;"113,300"
22.11.20;"59,883"
23.11.20;"152,771"
24.11.20;"184,323"
25.11.20;"175,181"
26.11.20;"154,093"
27.11.20;"85,560"
28.11.20;"20,490"
29.11.20;"28,690"
30.11.20;"173,988"
