 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.21;"302,196"
02.05.21;"271,609"
03.05.21;"458,477"
04.05.21;"224,896"
05.05.21;"400,812"
06.05.21;"317,706"
07.05.21;"364,678"
08.05.21;"468,915"
09.05.21;"500,870"
10.05.21;"417,900"
11.05.21;"215,742"
12.05.21;"143,883"
13.05.21;"207,676"
14.05.21;"292,613"
15.05.21;"371,090"
16.05.21;"444,381"
17.05.21;"342,805"
18.05.21;"318,217"
19.05.21;"406,107"
20.05.21;"340,413"
21.05.21;"449,271"
22.05.21;"498,573"
23.05.21;"375,829"
24.05.21;"487,846"
25.05.21;"402,850"
26.05.21;"199,408"
27.05.21;"236,898"
28.05.21;"362,325"
29.05.21;"359,825"
30.05.21;"501,587"
31.05.21;"572,386"
