 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.19;"93,999"
02.11.19;"90,348"
03.11.19;"123,362"
04.11.19;"111,985"
05.11.19;"104,473"
06.11.19;"69,851"
07.11.19;"151,604"
08.11.19;"25,899"
09.11.19;"80,400"
10.11.19;"178,522"
11.11.19;"216,271"
12.11.19;"164,067"
13.11.19;"131,186"
14.11.19;"155,636"
15.11.19;"55,671"
16.11.19;"139,696"
17.11.19;"8,696"
18.11.19;"21,774"
19.11.19;"74,150"
20.11.19;"34,209"
21.11.19;"17,677"
22.11.19;"73,426"
23.11.19;"44,051"
24.11.19;"28,456"
25.11.19;"31,816"
26.11.19;"101,837"
27.11.19;"31,837"
28.11.19;"87,538"
29.11.19;"114,863"
30.11.19;"136,512"
