 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.20;"21,255"
02.12.20;"30,923"
03.12.20;"29,526"
04.12.20;"74,675"
05.12.20;"32,998"
06.12.20;"34,726"
07.12.20;"23,022"
08.12.20;"142,318"
09.12.20;"25,534"
10.12.20;"15,434"
11.12.20;"13,855"
12.12.20;"57,078"
13.12.20;"24,233"
14.12.20;"87,227"
15.12.20;"23,981"
16.12.20;"119,230"
17.12.20;"30,992"
18.12.20;"147,452"
19.12.20;"147,741"
20.12.20;"17,932"
21.12.20;"82,629"
22.12.20;"54,871"
23.12.20;"20,848"
24.12.20;"72,613"
25.12.20;"50,032"
26.12.20;"63,961"
27.12.20;"17,059"
28.12.20;"53,408"
29.12.20;"59,052"
30.12.20;"50,037"
31.12.20;"66,913"
