 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.19;"353,920"
02.08.19;"328,187"
03.08.19;"255,127"
04.08.19;"457,871"
05.08.19;"225,034"
06.08.19;"275,942"
07.08.19;"160,124"
08.08.19;"419,818"
09.08.19;"322,440"
10.08.19;"277,035"
11.08.19;"418,496"
12.08.19;"345,409"
13.08.19;"395,886"
14.08.19;"466,555"
15.08.19;"221,593"
16.08.19;"400,618"
17.08.19;"167,969"
18.08.19;"360,068"
19.08.19;"405,149"
20.08.19;"186,327"
21.08.19;"440,099"
22.08.19;"479,615"
23.08.19;"475,508"
24.08.19;"373,529"
25.08.19;"351,600"
26.08.19;"368,007"
27.08.19;"288,516"
28.08.19;"342,823"
29.08.19;"247,196"
30.08.19;"381,188"
31.08.19;"381,459"
