 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.20;"318,108"
02.05.20;"253,093"
03.05.20;"341,978"
04.05.20;"119,799"
05.05.20;"454,179"
06.05.20;"519,084"
07.05.20;"554,186"
08.05.20;"497,089"
09.05.20;"428,681"
10.05.20;"237,504"
11.05.20;"79,549"
12.05.20;"380,288"
13.05.20;"422,520"
14.05.20;"233,227"
15.05.20;"490,101"
16.05.20;"555,401"
17.05.20;"525,058"
18.05.20;"516,415"
19.05.20;"395,968"
20.05.20;"187,603"
21.05.20;"529,636"
22.05.20;"272,072"
23.05.20;"206,641"
24.05.20;"343,028"
25.05.20;"361,493"
26.05.20;"373,477"
27.05.20;"490,025"
28.05.20;"519,720"
29.05.20;"450,573"
30.05.20;"430,559"
31.05.20;"448,476"
