 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.18;"117,928"
02.01.18;"69,272"
03.01.18;"56,669"
04.01.18;"30,260"
05.01.18;"24,557"
06.01.18;"44,135"
07.01.18;"7,206"
08.01.18;"10,623"
09.01.18;"25,985"
10.01.18;"74,845"
11.01.18;"53,762"
12.01.18;"9,876"
13.01.18;"17,549"
14.01.18;"101,265"
15.01.18;"127,038"
16.01.18;"60,973"
17.01.18;"45,272"
18.01.18;"74,699"
19.01.18;"45,216"
20.01.18;"65,826"
21.01.18;"0,154"
22.01.18;"3,211"
23.01.18;"64,748"
24.01.18;"116,650"
25.01.18;"45,400"
26.01.18;"38,414"
27.01.18;"166,862"
28.01.18;"100,327"
29.01.18;"75,286"
30.01.18;"214,527"
31.01.18;"93,131"
