 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.20;"149,279"
02.09.20;"354,505"
03.09.20;"296,376"
04.09.20;"208,401"
05.09.20;"118,417"
06.09.20;"376,910"
07.09.20;"383,649"
08.09.20;"439,672"
09.09.20;"419,748"
10.09.20;"400,229"
11.09.20;"374,917"
12.09.20;"370,578"
13.09.20;"373,465"
14.09.20;"380,283"
15.09.20;"375,117"
16.09.20;"195,139"
17.09.20;"325,555"
18.09.20;"411,613"
19.09.20;"368,422"
20.09.20;"382,096"
21.09.20;"357,067"
22.09.20;"260,558"
23.09.20;"227,984"
24.09.20;"274,876"
25.09.20;"196,547"
26.09.20;"42,370"
27.09.20;"124,221"
28.09.20;"358,638"
29.09.20;"303,414"
30.09.20;"158,340"
