 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.18;"170,078"
02.04.18;"395,410"
03.04.18;"312,302"
04.04.18;"362,536"
05.04.18;"211,811"
06.04.18;"497,992"
07.04.18;"484,445"
08.04.18;"469,345"
09.04.18;"315,415"
10.04.18;"433,608"
11.04.18;"222,830"
12.04.18;"323,217"
13.04.18;"212,718"
14.04.18;"462,396"
15.04.18;"384,822"
16.04.18;"159,147"
17.04.18;"455,623"
18.04.18;"482,329"
19.04.18;"488,762"
20.04.18;"475,129"
21.04.18;"419,599"
22.04.18;"388,842"
23.04.18;"273,681"
24.04.18;"320,327"
25.04.18;"282,179"
26.04.18;"350,965"
27.04.18;"444,835"
28.04.18;"455,208"
29.04.18;"471,617"
30.04.18;"372,269"
