 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.21;"326,277"
02.09.21;"374,599"
03.09.21;"436,089"
04.09.21;"445,228"
05.09.21;"263,439"
06.09.21;"360,629"
07.09.21;"324,534"
08.09.21;"413,071"
09.09.21;"378,574"
10.09.21;"301,656"
11.09.21;"263,455"
12.09.21;"274,694"
13.09.21;"332,844"
14.09.21;"341,024"
15.09.21;"81,087"
16.09.21;"183,580"
17.09.21;"118,035"
18.09.21;"189,793"
19.09.21;"130,930"
20.09.21;"117,165"
21.09.21;"185,006"
22.09.21;"279,303"
23.09.21;"371,717"
24.09.21;"149,439"
25.09.21;"373,713"
26.09.21;"299,901"
27.09.21;"246,048"
28.09.21;"233,600"
29.09.21;"173,968"
30.09.21;"278,326"
