 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.21;"66,842"
02.02.21;"41,299"
03.02.21;"40,720"
04.02.21;"165,704"
05.02.21;"73,419"
06.02.21;"2,438"
07.02.21;
08.02.21;
09.02.21;
10.02.21;
11.02.21;
12.02.21;
13.02.21;
14.02.21;"0,000"
15.02.21;"0,000"
16.02.21;"56,429"
17.02.21;"255,382"
18.02.21;"183,582"
19.02.21;"267,780"
20.02.21;"250,531"
21.02.21;"298,345"
22.02.21;"294,781"
23.02.21;"249,021"
24.02.21;"258,999"
25.02.21;"292,251"
26.02.21;"25,858"
27.02.21;"69,931"
28.02.21;"340,124"
