 ;MB15.2 PVA Wandersleben / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.18;"439,396"
02.05.18;"307,708"
03.05.18;"277,345"
04.05.18;"320,515"
05.05.18;"528,216"
06.05.18;"534,062"
07.05.18;"525,673"
08.05.18;"512,916"
09.05.18;"440,330"
10.05.18;"266,848"
11.05.18;"375,499"
12.05.18;"491,373"
13.05.18;"444,789"
14.05.18;"541,441"
15.05.18;"307,741"
16.05.18;"261,598"
17.05.18;"493,371"
18.05.18;"216,241"
19.05.18;"344,475"
20.05.18;"553,381"
21.05.18;"549,142"
22.05.18;"509,325"
23.05.18;"330,731"
24.05.18;"108,662"
25.05.18;"357,893"
26.05.18;"481,405"
27.05.18;"410,593"
28.05.18;"516,199"
29.05.18;"328,898"
30.05.18;"383,299"
31.05.18;"407,081"
