 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.20;"29,246"
02.07.20;"26,667"
03.07.20;"29,831"
04.07.20;"11,791"
05.07.20;"22,041"
06.07.20;"47,661"
07.07.20;"30,630"
08.07.20;"26,488"
09.07.20;"8,430"
10.07.20;"19,701"
11.07.20;"41,976"
12.07.20;"35,015"
13.07.20;"54,608"
14.07.20;"19,709"
15.07.20;"35,325"
16.07.20;"35,637"
17.07.20;"46,546"
18.07.20;"40,467"
19.07.20;"36,906"
20.07.20;"42,821"
21.07.20;"34,263"
22.07.20;"35,899"
23.07.20;"40,315"
24.07.20;"27,720"
25.07.20;"30,130"
26.07.20;"40,366"
27.07.20;"18,066"
28.07.20;"38,449"
29.07.20;"35,222"
30.07.20;"46,329"
31.07.20;"54,122"
