 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.18;"9,390"
02.05.18;"35,942"
03.05.18;"76,872"
04.05.18;"60,483"
05.05.18;"56,490"
06.05.18;"65,330"
07.05.18;"60,807"
08.05.18;"60,274"
09.05.18;"53,799"
10.05.18;"41,716"
11.05.18;"38,751"
12.05.18;"42,410"
13.05.18;"55,041"
14.05.18;"56,375"
15.05.18;"53,735"
16.05.18;"51,181"
17.05.18;"19,296"
18.05.18;"15,674"
19.05.18;"36,234"
20.05.18;"63,335"
21.05.18;"61,553"
22.05.18;"56,782"
23.05.18;"58,720"
24.05.18;"29,502"
25.05.18;"86,346"
26.05.18;"59,191"
27.05.18;"58,281"
28.05.18;"52,540"
29.05.18;"50,175"
30.05.18;"46,060"
31.05.18;"56,455"
