 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.18;"17,568"
02.04.18;"41,920"
03.04.18;"20,353"
04.04.18;"27,469"
05.04.18;"12,204"
06.04.18;"59,599"
07.04.18;"55,900"
08.04.18;"54,014"
09.04.18;"44,631"
10.04.18;"50,311"
11.04.18;"40,863"
12.04.18;"37,869"
13.04.18;"17,908"
14.04.18;"2,961"
15.04.18;"13,741"
16.04.18;"35,687"
17.04.18;"57,829"
18.04.18;"56,292"
19.04.18;"57,306"
20.04.18;"55,984"
21.04.18;"61,156"
22.04.18;"52,696"
23.04.18;"38,255"
24.04.18;"7,615"
25.04.18;"22,394"
26.04.18;"26,058"
27.04.18;"48,423"
28.04.18;"29,512"
29.04.18;"39,631"
30.04.18;"17,252"
