 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.20;"2,508"
02.01.20;"2,305"
03.01.20;"0,562"
04.01.20;"1,376"
05.01.20;"4,421"
06.01.20;"2,920"
07.01.20;"5,825"
08.01.20;"0,301"
09.01.20;"0,597"
10.01.20;"2,847"
11.01.20;"9,575"
12.01.20;"1,241"
13.01.20;"4,079"
14.01.20;"0,874"
15.01.20;"13,493"
16.01.20;"18,418"
17.01.20;"16,565"
18.01.20;"2,130"
19.01.20;"16,440"
20.01.20;"6,176"
21.01.20;"4,290"
22.01.20;"7,910"
23.01.20;"4,439"
24.01.20;"1,583"
25.01.20;"1,293"
26.01.20;"2,455"
27.01.20;"1,337"
28.01.20;"2,000"
29.01.20;"2,756"
30.01.20;"2,420"
31.01.20;"7,819"
