 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.18;"13,551"
02.11.18;"14,572"
03.11.18;"26,365"
04.11.18;"4,098"
05.11.18;"1,397"
06.11.18;"9,487"
07.11.18;"22,544"
08.11.18;"12,759"
09.11.18;"10,003"
10.11.18;"2,504"
11.11.18;"4,327"
12.11.18;"1,222"
13.11.18;"3,987"
14.11.18;"4,168"
15.11.18;"13,396"
16.11.18;"23,021"
17.11.18;"22,111"
18.11.18;"16,499"
19.11.18;"7,373"
20.11.18;"0,861"
21.11.18;"4,916"
22.11.18;"1,462"
23.11.18;"1,807"
24.11.18;"1,404"
25.11.18;"1,227"
26.11.18;"4,816"
27.11.18;"7,457"
28.11.18;"13,452"
29.11.18;"1,747"
30.11.18;"7,844"
