 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.20;"32,648"
02.05.20;"26,836"
03.05.20;"20,707"
04.05.20;"50,534"
05.05.20;"48,630"
06.05.20;"62,972"
07.05.20;"40,663"
08.05.20;"58,764"
09.05.20;"57,086"
10.05.20;"47,381"
11.05.20;"33,594"
12.05.20;"31,499"
13.05.20;"22,232"
14.05.20;"41,325"
15.05.20;"32,956"
16.05.20;"31,831"
17.05.20;"39,824"
18.05.20;"22,292"
19.05.20;"36,193"
20.05.20;"46,704"
21.05.20;"54,555"
22.05.20;"15,589"
23.05.20;"31,237"
24.05.20;"29,671"
25.05.20;"15,790"
26.05.20;"48,755"
27.05.20;"49,153"
28.05.20;"55,987"
29.05.20;"55,699"
30.05.20;"55,670"
31.05.20;"58,160"
