 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.20;"2,595"
02.02.20;"2,763"
03.02.20;"2,764"
04.02.20;"11,968"
05.02.20;"30,503"
06.02.20;"2,948"
07.02.20;"2,818"
08.02.20;"10,754"
09.02.20;"3,739"
10.02.20;"7,536"
11.02.20;"4,901"
12.02.20;"11,384"
13.02.20;"3,538"
14.02.20;"4,394"
15.02.20;"15,015"
16.02.20;"1,506"
17.02.20;"21,205"
18.02.20;"11,725"
19.02.20;"10,491"
20.02.20;"2,964"
21.02.20;"10,225"
22.02.20;"1,832"
23.02.20;"2,419"
24.02.20;"5,503"
25.02.20;"19,666"
26.02.20;"15,686"
27.02.20;"15,050"
28.02.20;"34,701"
29.02.20;"17,695"
