 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.19;"6,936"
02.01.19;"19,907"
03.01.19;"17,420"
04.01.19;"0,865"
05.01.19;"1,145"
06.01.19;"1,884"
07.01.19;"1,691"
08.01.19;"3,102"
09.01.19;"1,017"
10.01.19;"8,173"
11.01.19;"2,326"
12.01.19;"1,039"
13.01.19;"1,551"
14.01.19;"9,524"
15.01.19;"0,804"
16.01.19;"0,960"
17.01.19;"3,430"
18.01.19;"15,272"
19.01.19;"21,365"
20.01.19;"10,145"
21.01.19;"3,425"
22.01.19;"17,646"
23.01.19;"7,134"
24.01.19;"2,280"
25.01.19;"2,839"
26.01.19;"1,906"
27.01.19;"1,788"
28.01.19;"1,180"
29.01.19;"15,245"
30.01.19;"6,882"
31.01.19;"6,581"
