 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.20;"13,959"
02.03.20;"23,028"
03.03.20;"20,907"
04.03.20;"12,294"
05.03.20;"26,663"
06.03.20;"2,146"
07.03.20;"18,529"
08.03.20;"15,540"
09.03.20;"11,965"
10.03.20;"3,721"
11.03.20;"46,325"
12.03.20;"30,878"
13.03.20;"18,803"
14.03.20;"53,194"
15.03.20;"29,311"
16.03.20;"29,467"
17.03.20;"28,397"
18.03.20;"15,062"
19.03.20;"13,470"
20.03.20;"15,030"
21.03.20;"38,356"
22.03.20;"58,650"
23.03.20;"58,286"
24.03.20;"56,430"
25.03.20;"57,241"
26.03.20;"57,023"
27.03.20;"53,044"
28.03.20;"55,254"
29.03.20;"27,687"
30.03.20;"14,409"
31.03.20;"48,872"
