 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.21;"13,368"
02.07.21;"42,836"
03.07.21;"48,408"
04.07.21;"33,034"
05.07.21;"24,213"
06.07.21;"29,357"
07.07.21;"46,033"
08.07.21;"43,616"
09.07.21;"19,196"
10.07.21;"38,134"
11.07.21;"48,210"
12.07.21;"37,614"
13.07.21;"38,698"
14.07.21;"24,504"
15.07.21;"43,576"
16.07.21;"49,278"
17.07.21;"58,109"
18.07.21;"47,034"
19.07.21;"25,386"
20.07.21;"32,959"
21.07.21;"28,067"
22.07.21;"41,200"
23.07.21;"14,689"
24.07.21;"56,758"
25.07.21;"48,269"
26.07.21;"44,429"
27.07.21;"36,409"
28.07.21;"32,602"
29.07.21;"43,703"
30.07.21;"54,688"
31.07.21;"23,609"
