 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.19;"9,748"
02.11.19;"6,825"
03.11.19;"7,171"
04.11.19;"11,144"
05.11.19;"3,132"
06.11.19;"5,345"
07.11.19;"4,994"
08.11.19;"17,667"
09.11.19;"12,078"
10.11.19;"22,860"
11.11.19;"15,689"
12.11.19;"8,186"
13.11.19;"2,503"
14.11.19;"16,237"
15.11.19;"0,549"
16.11.19;"0,872"
17.11.19;"8,453"
18.11.19;"0,933"
19.11.19;"10,440"
20.11.19;"2,399"
21.11.19;"0,503"
22.11.19;"7,207"
23.11.19;"4,524"
24.11.19;"0,918"
25.11.19;"0,352"
26.11.19;"5,248"
27.11.19;"1,463"
28.11.19;"1,274"
29.11.19;"13,373"
30.11.19;"11,709"
