 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.18;"49,006"
02.08.18;"51,670"
03.08.18;"47,670"
04.08.18;"48,996"
05.08.18;"34,543"
06.08.18;"58,344"
07.08.18;"53,221"
08.08.18;"36,743"
09.08.18;"34,061"
10.08.18;"35,968"
11.08.18;"41,462"
12.08.18;"24,860"
13.08.18;"16,927"
14.08.18;"30,706"
15.08.18;"22,522"
16.08.18;"50,045"
17.08.18;"18,614"
18.08.18;"54,152"
19.08.18;"36,986"
20.08.18;"27,103"
21.08.18;"48,858"
22.08.18;"53,242"
23.08.18;"34,972"
24.08.18;"30,076"
25.08.18;"18,679"
26.08.18;"43,101"
27.08.18;"13,211"
28.08.18;"24,277"
29.08.18;"50,883"
30.08.18;"11,385"
31.08.18;"43,228"
