 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.22;"1,208"
02.01.22;"0,518"
03.01.22;"2,855"
04.01.22;"1,140"
05.01.22;"1,438"
06.01.22;"18,188"
07.01.22;"0,791"
08.01.22;"11,575"
09.01.22;"0,937"
10.01.22;"1,963"
11.01.22;"8,865"
12.01.22;"5,723"
13.01.22;"0,625"
14.01.22;"1,304"
15.01.22;"3,611"
16.01.22;"0,417"
17.01.22;"4,725"
18.01.22;"2,083"
19.01.22;"0,884"
20.01.22;"8,294"
21.01.22;"13,195"
22.01.22;"4,350"
23.01.22;"5,521"
24.01.22;"0,553"
25.01.22;"2,323"
26.01.22;"0,679"
27.01.22;"2,462"
28.01.22;"21,411"
29.01.22;"0,580"
30.01.22;"10,640"
31.01.22;"2,466"
