 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.18;"25,211"
02.10.18;"3,802"
03.10.18;"25,378"
04.10.18;"7,701"
05.10.18;"44,622"
06.10.18;"41,201"
07.10.18;"43,860"
08.10.18;"34,938"
09.10.18;"35,221"
10.10.18;"40,742"
11.10.18;"40,580"
12.10.18;"39,309"
13.10.18;"33,693"
14.10.18;"38,952"
15.10.18;"36,159"
16.10.18;"9,818"
17.10.18;"29,812"
18.10.18;"6,752"
19.10.18;"26,050"
20.10.18;"13,643"
21.10.18;"7,685"
22.10.18;"21,973"
23.10.18;"3,023"
24.10.18;"14,284"
25.10.18;"9,172"
26.10.18;"2,759"
27.10.18;"24,497"
28.10.18;"24,450"
29.10.18;"3,529"
30.10.18;"2,945"
31.10.18;"25,790"
