 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.20;"1,042"
02.12.20;"0,644"
03.12.20;"1,204"
04.12.20;"4,083"
05.12.20;"2,037"
06.12.20;"1,187"
07.12.20;"0,632"
08.12.20;"8,627"
09.12.20;"1,102"
10.12.20;"0,396"
11.12.20;"1,246"
12.12.20;"1,177"
13.12.20;"0,787"
14.12.20;"1,299"
15.12.20;"2,027"
16.12.20;"2,196"
17.12.20;"1,099"
18.12.20;"14,484"
19.12.20;"15,138"
20.12.20;"2,316"
21.12.20;"12,866"
22.12.20;"1,240"
23.12.20;"1,098"
24.12.20;"3,812"
25.12.20;"17,118"
26.12.20;"2,016"
27.12.20;"0,523"
28.12.20;"1,172"
29.12.20;"1,718"
30.12.20;"1,039"
31.12.20;"0,552"
